"Id","StartDate","EnterpriseNumber"
"9.000.070.467",06-01-1966,"0403.060.239"
"9.000.070.764",17-09-1960,"0403.067.959"
"9.000.071.160",01-01-1968,"0403.078.550"
"9.000.071.655",01-01-1968,"0403.083.203"
"9.000.071.754",01-01-1961,"0403.087.755"
"9.000.072.150",01-01-1967,"0403.093.792"
"9.000.072.348",01-01-1968,"0403.094.980"
"9.000.072.843",01-01-1958,"0403.108.541"
"9.000.073.140",18-07-1963,"0403.114.677"
"9.000.073.437",10-12-1968,"0403.122.201"
"9.000.073.833",01-01-1968,"0403.129.228"
"9.000.074.229",01-01-1968,"0403.143.381"
"9.000.074.427",01-01-1968,"0403.144.668"
"9.000.074.526",22-07-1966,"0403.145.658"
"9.000.074.625",30-01-1967,"0403.147.143"
"9.000.074.922",01-01-1968,"0403.151.695"
"9.000.075.219",01-01-1968,"0403.175.649"
"9.000.075.318",01-01-1968,"0403.175.748"
"9.000.075.615",01-01-1968,"0403.180.696"
"9.000.076.407",01-01-1968,"0403.198.316"
"9.000.076.605",01-01-1968,"0403.199.405"
"9.000.076.803",26-01-1949,"0403.199.997"
"9.000.076.902",07-10-1966,"0403.201.482"
"9.000.077.791",01-01-1968,"0403.208.115"
"9.000.078.286",01-01-1968,"0403.219.694"
"9.000.078.583",01-01-1968,"0403.221.377"
"9.000.078.781",01-01-1968,"0403.223.060"
"9.000.079.078",01-01-1968,"0403.229.592"
"9.000.079.177",01-06-1969,"0403.232.958"
"9.000.079.276",01-01-1968,"0403.234.938"
"9.000.079.375",01-01-1968,"0403.239.292"
"9.000.079.573",01-01-1941,"0403.243.549"
"9.000.079.969",01-01-1968,"0403.244.143"
"9.000.080.068",01-01-1968,"0403.244.242"
"9.000.080.266",01-01-1968,"0403.244.935"
"9.000.080.563",01-01-1968,"0403.245.331"
"9.000.080.662",01-01-1968,"0403.245.529"
"9.000.080.860",01-01-1968,"0403.245.826"
"9.000.080.959",06-04-1957,"0403.245.925"
"9.000.081.058",01-01-1968,"0403.246.717"
"9.000.081.652",01-01-1955,"0403.251.269"
"9.000.082.147",01-01-1968,"0403.253.744"
"9.000.082.246",09-05-1968,"0403.253.843"
"9.000.082.345",01-01-1968,"0403.254.833"
"9.000.082.444",01-01-1968,"0403.255.031"
"9.000.082.642",01-01-1936,"0403.258.791"
"9.000.082.741",25-02-1953,"0403.259.088"
"9.000.082.840",01-01-1968,"0403.260.870"
"9.000.083.533",01-01-1968,"0403.267.602"
"9.000.083.632",01-01-1968,"0403.267.701"
"9.000.083.929",01-01-1968,"0403.272.451"
"9.000.084.226",01-01-1968,"0403.272.946"
"9.000.084.523",26-12-1963,"0403.273.738"
"9.000.084.721",24-10-1964,"0403.274.530"
"9.000.084.919",01-01-1968,"0403.276.114"
"9.000.085.117",01-01-1968,"0403.277.005"
"9.000.085.216",01-01-1948,"0403.277.104"
"9.000.085.513",01-01-1968,"0403.278.983"
"9.000.085.612",01-01-1968,"0403.279.082"
"9.000.085.810",01-01-1968,"0403.280.072"
"9.000.086.107",01-01-1968,"0403.280.765"
"9.000.086.206",01-01-1968,"0403.281.359"
"9.000.086.404",01-01-1968,"0403.283.438"
"9.000.086.897",01-01-1968,"0403.284.329"
"9.000.086.996",30-07-1958,"0403.284.428"
"9.000.087.392",01-01-1954,"0403.285.319"
"9.000.087.491",01-01-1968,"0403.285.418"
"9.000.087.887",31-01-1957,"0403.285.913"
"9.000.088.184",01-01-1968,"0403.286.210"
"9.000.088.283",01-01-1968,"0403.286.309"
"9.000.088.382",23-12-1920,"0403.286.408"
"9.000.088.679",01-01-1968,"0403.287.594"
"9.000.088.778",01-01-1968,"0403.287.990"
"9.000.088.976",01-01-1968,"0403.289.376"
"9.000.089.075",04-09-1890,"0403.289.475"
"9.000.089.174",16-04-1936,"0403.289.574"
"9.000.089.372",01-01-1968,"0403.290.960"
"9.000.089.570",11-07-1967,"0403.291.653"
"9.000.089.768",01-01-1968,"0403.291.950"
"9.000.089.867",07-03-1914,"0403.292.049"
"9.000.089.966",01-01-1968,"0403.292.148"
"9.000.090.263",24-10-1959,"0403.294.029"
"9.000.090.362",01-01-1968,"0403.294.722"
"9.000.090.560",01-01-1968,"0403.295.217"
"9.000.090.659",01-01-1968,"0403.295.514"
"9.000.090.857",01-01-1968,"0403.296.801"
"9.000.091.055",01-01-1968,"0403.297.690"
"9.000.091.451",01-01-1968,"0403.299.175"
"9.000.092.243",01-01-1968,"0403.304.719"
"9.000.092.342",01-01-1968,"0403.308.776"
"9.000.092.639",01-01-1968,"0403.324.515"
"9.000.092.837",01-01-1968,"0403.344.509"
"9.000.092.936",01-01-1968,"0403.347.774"
"9.000.093.431",01-01-1968,"0403.361.137"
"9.000.093.530",30-05-2003,"0403.361.830"
"9.000.093.629",01-01-1968,"0403.372.718"
"9.000.093.728",01-01-1968,"0403.373.708"
"9.000.094.124",01-01-1968,"0403.392.811"
"9.000.094.322",01-01-1923,"0403.403.105"
"9.000.094.520",01-01-1968,"0403.409.538"
"9.000.094.619",08-11-1968,"0403.418.545"
"9.000.094.817",25-04-1958,"0403.418.743"
"9.000.094.916",01-01-1968,"0403.418.842"
"9.000.095.114",06-07-1907,"0403.421.218"
"9.000.095.213",09-04-1968,"0403.421.317"
"9.000.095.312",01-01-1968,"0403.430.720"
"9.000.095.411",01-01-1968,"0403.437.450"
"9.000.095.510",28-03-1966,"0403.437.747"
"9.000.095.708",01-01-1968,"0403.440.816"
"9.000.096.104",01-01-1968,"0403.452.593"
"9.000.096.302",07-10-1919,"0403.453.583"
"9.000.096.401",15-07-1965,"0403.453.682"
"9.000.096.696",17-02-1971,"0403.457.741"
"9.000.097.092",01-01-1968,"0403.465.857"
"9.000.097.191",01-01-1968,"0403.465.956"
"9.000.097.389",01-01-1968,"0403.472.488"
"9.000.097.488",12-08-1968,"0403.473.577"
"9.000.097.587",01-01-1968,"0403.474.369"
"9.000.097.686",06-08-1966,"0403.475.161"
"9.000.097.785",11-06-1965,"0403.475.260"
"9.000.097.983",01-01-1968,"0403.479.418"
"9.000.098.082",01-01-1968,"0403.491.195"
"9.000.098.874",01-01-1968,"0403.509.706"
"9.000.099.270",25-04-1964,"0403.520.592"
"9.000.099.369",01-01-1968,"0403.521.681"
"9.000.100.062",01-01-1968,"0403.535.935"
"9.000.100.161",01-01-1968,"0403.538.509"
"9.000.100.260",01-01-1968,"0403.539.695"
"9.000.100.359",01-01-1968,"0403.543.061"
"9.000.100.458",01-05-1968,"0403.543.358"
"9.000.100.557",05-05-1966,"0403.544.348"
"9.000.101.349",01-01-1968,"0403.632.737"
"9.000.101.646",01-01-1968,"0403.645.011"
"9.000.101.844",01-01-1968,"0403.680.544"
"9.000.101.943",01-01-1968,"0403.694.697"
"9.000.102.042",01-01-1968,"0403.697.568"
"9.000.102.141",01-01-1968,"0403.697.865"
"9.000.103.032",01-01-1968,"0403.816.839"
"9.000.103.527",31-03-1969,"0403.842.870"
"9.000.103.626",01-01-1968,"0403.849.305"
"9.000.104.022",01-01-1968,"0403.861.478"
"9.000.104.319",01-01-1968,"0403.866.626"
"9.000.106.101",27-04-1967,"0403.963.329"
"9.000.106.594",01-01-1968,"0404.000.248"
"9.000.106.990",01-01-1968,"0404.067.851"
"9.000.107.683",01-01-1968,"0404.209.886"
"9.000.108.475",01-01-1968,"0404.245.421"
"9.000.109.069",01-01-1983,"0404.316.784"
"9.000.109.465",01-01-1968,"0404.372.115"
"9.000.109.564",29-04-1968,"0404.410.816"
"9.000.109.960",30-03-1973,"0404.438.629"
"9.000.110.158",01-01-1968,"0404.450.705"
"9.000.110.257",01-01-1968,"0404.451.002"
"9.000.110.356",01-01-1968,"0404.451.297"
"9.000.110.653",16-04-1952,"0404.451.693"
"9.000.110.851",01-01-1968,"0404.452.386"
"9.000.111.148",01-01-1968,"0404.452.881"
"9.000.111.247",01-01-1968,"0404.453.673"
"9.000.111.346",15-12-1965,"0404.453.871"
"9.000.111.445",01-01-1968,"0404.454.069"
"9.000.111.544",01-01-1968,"0404.454.366"
"9.000.111.643",01-01-1921,"0404.455.158"
"9.000.111.841",01-01-1968,"0404.455.356"
"9.000.111.940",01-01-1968,"0404.455.653"
"9.000.112.039",01-01-1968,"0404.455.752"
"9.000.112.237",01-01-1968,"0404.457.039"
"9.000.112.435",24-01-1965,"0404.457.336"
"9.000.112.534",01-01-1968,"0404.457.435"
"9.000.112.831",01-01-1968,"0404.458.425"
"9.000.112.930",01-01-1968,"0404.458.524"
"9.000.113.029",25-03-1969,"0404.458.623"
"9.000.113.227",01-01-1968,"0404.458.821"
"9.000.113.326",01-01-1968,"0404.458.920"
"9.000.113.425",27-09-1951,"0404.459.019"
"9.000.113.524",09-04-1951,"0404.459.118"
"9.000.113.623",01-01-1968,"0404.459.613"
"9.000.113.722",01-01-1968,"0404.460.207"
"9.000.113.920",01-01-1968,"0404.460.504"
"9.000.114.118",01-01-1968,"0404.460.702"
"9.000.114.316",01-01-1968,"0404.461.987"
"9.000.114.415",18-05-1968,"0404.462.086"
"9.000.114.811",01-01-1954,"0404.463.472"
"9.000.114.910",01-01-1968,"0404.463.571"
