Category,Code,Language,Description
Nace2003,0141004,FR,"la pulvérisation des récoltes, y compris par voie aérienne"
Nace2003,0141005,FR,la lutte contre les animaux nuisibles (y compris les lapins) en relation avec l'agriculture
Nace2003,0141006,FR,la taille des arbres fruitiers et des vignes
Nace2003,0141007,FR,"la transplantation du riz, le démariage des betteraves"
Nace2003,0141008,FR,"la récolte et la préparation des cultures en vue de leur commercialisation primaire : nettoyage, triage, désinfection, emballage (y compris les emballages favorisant une conservation de courte durée),"
Nace2003,0141009,FR,l'élagage des arbres et des haies
Nace2003,0141010,FR,l'exploitation de systèmes d'irrigation
Nace2003,0141011,FR,"la création et l'entretien de jardins, de parcs et d'espaces verts pour installations sportives"
Nace2003,0141012,FR,la location de machines et d'équipements agricoles avec opérateur.
Nace2003,01411,FR,"Création, implantation et entretien de jardins et parcs"
Nace2003,01412,FR,"Services annexes à la culture, n.d.a."
Nace2003,0142,FR,"Services annexes à l'élevage, à l'exclusion des services vétérinaires"
Nace2003,01420,FR,"Services annexes à l'élevage, à l'exclusion des services vétérinaires"
Nace2003,0142001,FR,l'insémination artificielle
Nace2003,0142002,FR,la tonte d'ovins pour le compte de tiers
Nace2003,0142003,FR,"les services de conduite de troupeaux, services de paissance, services de nettoyage des poulaillers, etc."
Nace2003,0142004,FR,"les fourrières, pensions et autres refuges pour animaux"
Nace2003,0142005,FR,le toilettage d'animaux domestiques.
Nace2003,015,FR,"Chasse; capture d'animaux, repeuplement en gibier et services annexes"
Nace2003,0150,FR,"Chasse; capture d'animaux, repeuplement en gibier et services annexes"
Nace2003,01500,FR,"Chasse; capture d'animaux, repeuplement en gibier et services annexes"
Nace2003,0150001,FR,"la chasse ou le piégeage d'animaux pour l'alimentation commerciale, leur fourrure, leur peau, ou destinés à des centres de recherche ou des parcs zoologiques, ou utilisés comme animaux de compagnie"
Nace2003,0150002,FR,"la production de pelleteries, de peaux de reptiles ou d'oiseaux provenant d'activités de chasse ou de piégeage"
Nace2003,0150003,FR,les activités des services visant à promouvoir la chasse et le piégeage à des fins commerciales
Nace2003,0150004,FR,la capture de mammifères marins tels que les morses et les phoques.
Nace2003,02,FR,"Sylviculture, exploitation forestière et services annexes"
Nace2003,020,FR,"Sylviculture, exploitation forestière et services annexes"
Nace2003,0201,FR,Sylviculture et exploitation forestière
Nace2003,02011,FR,Sylviculture
Nace2003,0201101,FR,"la sylviculture sur pied : boisement, reboisement, transplantation, coupe d'éclaircie et conservation des forêts et des coupes"
Nace2003,0201102,FR,la culture de taillis et de bois de trituration
Nace2003,0201103,FR,l'exploitation de pépinières (y compris les arbres de Noël)
Nace2003,0201104,FR,culture de végétaux pour la sparterie
Nace2003,02012,FR,Exploitation forestière
Nace2003,0201201,FR,"l'exploitation forestière : abattage d'arbres et production de bois brut tels que les bois de mine, les échalas fendus, les piquets et les bois de chauffage"
Nace2003,0201202,FR,"la récolte de produits forestiers poussant à l'état sauvage : liège, laque, résines, baumes, extraits végétaux (crin végétal), glands, marrons d'Inde, mousses, lichens, balata et autres gommes."
Nace2003,0202,FR,Services annexes à la sylviculture et à l'exploitation forestière
Nace2003,02020,FR,Services annexes à la sylviculture et à l'exploitation forestière
Nace2003,0202001,FR,"l'inventaire des forêts, l'évaluation du bois, la protection contre les incendies"
Nace2003,0202002,FR,le transport de grumes dans les forêts.
Nace2003,05,FR,"Pêche, aquaculture et services annexes"
Nace2003,050,FR,"Pêche, aquaculture et services annexes"
Nace2003,0501,FR,Pêche
Nace2003,05010,FR,Pêche
Nace2003,0501001,FR,"la pêche en haute mer, la pêche côtière et en eaux intérieures"
Nace2003,0501002,FR,le ramassage en mer ou en eau douce de crustacés et de mollusques
Nace2003,0501003,FR,"les activités de bateaux de pêche qui, en outre, procèdent à la transformation et la conservation de poissons"
Nace2003,0501004,FR,"la capture d'animaux marins : tortues, holothuries, tuniciers, oursins, etc."
Nace2003,0501005,FR,"la récolte de perles naturelles, éponges, coraux, algues, etc."
Nace2003,0501006,FR,les activités des services annexes à la pêche.
Nace2003,0502,FR,Aquaculture
Nace2003,05020,FR,Aquaculture
Nace2003,0502001,FR,"la production de naissains d'huîtres, de moules, de jeunes langoustes, de larves de crevettes, d'alevins et de saumoneaux"
Nace2003,0502002,FR,la culture d'algues et autres plantes aquatiques comestibles
Nace2003,0502003,FR,la pisciculture en eau de mer et en eau douce
Nace2003,0502004,FR,l'ostréiculture.
Nace2003,10,FR,"Extraction de houille, de lignite et de tourbe"
Nace2003,101,FR,Extraction et agglomération de la houille
Nace2003,1010,FR,Extraction et agglomération de la houille
Nace2003,10100,FR,Extraction et agglomération de la houille
Nace2003,1010001,FR,l'extraction de la houille : extraction souterraine ou à ciel ouvert
Nace2003,1010002,FR,"le lavage, le calibrage, le triage, la pulvérisation, etc., de la houille"
Nace2003,1010003,FR,l'agglomération de la houille
Nace2003,1010004,FR,la récupération de la houille provenant des terrils.
Nace2003,102,FR,Extraction et agglomération du lignite
Nace2003,1020,FR,Extraction et agglomération du lignite
Nace2003,10200,FR,Extraction et agglomération du lignite
Nace2003,1020001,FR,l'extraction du lignite : extraction souterraine ou à ciel ouvert
Nace2003,1020002,FR,"le lavage, la déshydratation, la pulvérisation du lignite"
Nace2003,1020003,FR,l'agglomération du lignite.
Nace2003,103,FR,Extraction et agglomération de la tourbe
Nace2003,1030,FR,Extraction et agglomération de la tourbe
Nace2003,10300,FR,Extraction et agglomération de la tourbe
Nace2003,1030001,FR,l'extraction de la tourbe
Nace2003,1030002,FR,la production de tourbe pour l'horticulture
Nace2003,1030003,FR,l'agglomération de la tourbe.
Nace2003,11,FR,Extraction de pétrole brut et de gaz naturel et services annexes
Nace2003,111,FR,Extraction de pétrole brut et de gaz naturel
Nace2003,1110,FR,Extraction de pétrole brut et de gaz naturel
Nace2003,11100,FR,Extraction de pétrole brut et de gaz naturel
Nace2003,1110001,FR,l'extraction de pétrole brut
Nace2003,1110002,FR,l'extraction d'hydrocarbures gazeux (gaz naturel)
Nace2003,1110003,FR,l'extraction de condensats
Nace2003,1110004,FR,la décantation et la séparation de fractions d'hydrocarbures liquides
Nace2003,1110005,FR,la liquéfaction et la regazéification du gaz naturel
Nace2003,1110006,FR,la désulfuration du gaz
Nace2003,1110007,FR,l'extraction de sables et de schistes bitumineux
Nace2003,1110008,FR,la production de pétrole brut à partir de sables et schistes bitumineux.
Nace2003,112,FR,Services annexes à l'extraction de pétrole et de gaz
Nace2003,1120,FR,Services annexes à l'extraction de pétrole et de gaz
Nace2003,11200,FR,Services annexes à l'extraction de pétrole et de gaz
Nace2003,1120001,FR,forage et reforage dirigés
Nace2003,1120002,FR,"montage in situ, réparation et démontage de tours de forage"
Nace2003,1120003,FR,cimentation de puits de pétrole ou de gaz
Nace2003,1120004,FR,pompage de puits
Nace2003,1120005,FR,bouchage de puits
Nace2003,1120006,FR,extinction d'incendies de puits de pétrole.
Nace2003,12,FR,Extraction de minerais d'uranium et de thorium
Nace2003,120,FR,Extraction de minerais d'uranium et de thorium
Nace2003,1200,FR,Extraction de minerais d'uranium et de thorium
Nace2003,12000,FR,Extraction de minerais d'uranium et de thorium
